Date,Open,High,Low,Close,Volume
10/15/57,41.67,41.67,41.67,41.67,1455556
10/16/57,41.33,41.33,41.33,41.33,1138889
10/17/57,40.65,40.65,40.65,40.65,1700000
10/18/57,40.33,40.33,40.33,40.33,1483333
10/21/57,39.15,39.15,39.15,39.15,2594444
10/22/57,38.98,38.98,38.98,38.98,2827778
10/23/57,40.73,40.73,40.73,40.73,2555556
10/24/57,40.71,40.71,40.71,40.71,2238889
10/25/57,40.59,40.59,40.59,40.59,1333333
10/28/57,40.42,40.42,40.42,40.42,1000000
10/29/57,40.69,40.69,40.69,40.69,1033333
10/30/57,41.02,41.02,41.02,41.02,1144444
10/31/57,41.06,41.06,41.06,41.06,1205556
11/1/57,40.44,40.44,40.44,40.44,1144444
11/4/57,40.37,40.37,40.37,40.37,1322222
11/6/57,40.43,40.43,40.43,40.43,1416667
11/7/57,40.67,40.67,40.67,40.67,1433333
11/8/57,40.19,40.19,40.19,40.19,1188889
11/11/57,40.18,40.18,40.18,40.18,855556
11/12/57,39.6,39.6,39.6,39.6,1138889
11/13/57,39.55,39.55,39.55,39.55,1177778
11/14/57,39.44,39.44,39.44,39.44,1361111
11/15/57,40.37,40.37,40.37,40.37,1950000
11/18/57,40.04,40.04,40.04,40.04,1172222
11/19/57,39.81,39.81,39.81,39.81,1244444
11/20/57,39.92,39.92,39.92,39.92,1333333
11/21/57,40.48,40.48,40.48,40.48,1611111
11/22/57,40.87,40.87,40.87,40.87,1583333
11/25/57,41.18,41.18,41.18,41.18,1444444
11/26/57,40.09,40.09,40.09,40.09,2027778
11/27/57,41.25,41.25,41.25,41.25,1850000
11/29/57,41.72,41.72,41.72,41.72,1522222
12/2/57,41.36,41.36,41.36,41.36,1350000
12/3/57,41.37,41.37,41.37,41.37,1144444
12/4/57,41.54,41.54,41.54,41.54,1233333
12/5/57,41.52,41.52,41.52,41.52,1122222
12/6/57,41.31,41.31,41.31,41.31,1305556
12/9/57,40.92,40.92,40.92,40.92,1238889
12/10/57,40.56,40.56,40.56,40.56,1311111
12/11/57,40.51,40.51,40.51,40.51,1244444
12/12/57,40.55,40.55,40.55,40.55,1294444
12/13/57,40.73,40.73,40.73,40.73,1283333
12/16/57,40.12,40.12,40.12,40.12,1305556
12/17/57,39.42,39.42,39.42,39.42,1566667
12/18/57,39.38,39.38,39.38,39.38,1527778
12/19/57,39.8,39.8,39.8,39.8,1522222
12/20/57,39.48,39.48,39.48,39.48,1388889
12/23/57,39.48,39.48,39.48,39.48,1550000
12/24/57,39.52,39.52,39.52,39.52,1233333
12/26/57,39.92,39.92,39.92,39.92,1266667
12/27/57,39.78,39.78,39.78,39.78,1455556
12/30/57,39.58,39.58,39.58,39.58,2083333
12/31/57,39.99,39.99,39.99,39.99,2816667
1/2/58,40.33,40.33,40.33,40.33,1000000
1/3/58,40.87,40.87,40.87,40.87,1355556
1/6/58,40.68,40.68,40.68,40.68,1388889
1/7/58,41,41,41,41,1233333
1/8/58,40.99,40.99,40.99,40.99,1238889
1/9/58,40.75,40.75,40.75,40.75,1211111
1/10/58,40.37,40.37,40.37,40.37,1116667
1/13/58,40.49,40.49,40.49,40.49,1033333
1/14/58,40.67,40.67,40.67,40.67,1116667
1/15/58,40.99,40.99,40.99,40.99,1155556
1/16/58,41.06,41.06,41.06,41.06,2194444
1/17/58,41.1,41.1,41.1,41.1,1222222
1/20/58,41.35,41.35,41.35,41.35,1283333
1/21/58,41.3,41.3,41.3,41.3,1200000
1/22/58,41.2,41.2,41.2,41.2,1327778
1/23/58,41.36,41.36,41.36,41.36,1061111
1/24/58,41.71,41.71,41.71,41.71,1572222
1/27/58,41.59,41.59,41.59,41.59,1288889
1/28/58,41.63,41.63,41.63,41.63,1127778
1/29/58,41.88,41.88,41.88,41.88,1233333
1/30/58,41.68,41.68,41.68,41.68,1194444
1/31/58,41.7,41.7,41.7,41.7,1127778
2/3/58,42.04,42.04,42.04,42.04,1383333
2/4/58,42.46,42.46,42.46,42.46,1650000
2/5/58,42.19,42.19,42.19,42.19,1377778
2/6/58,42.1,42.1,42.1,42.1,1227778
2/7/58,41.73,41.73,41.73,41.73,1233333
2/10/58,41.48,41.48,41.48,41.48,1055556
2/11/58,41.11,41.11,41.11,41.11,1172222
2/12/58,40.93,40.93,40.93,40.93,1127778
2/13/58,40.94,40.94,40.94,40.94,1044444
2/14/58,41.33,41.33,41.33,41.33,1150000
2/17/58,41.11,41.11,41.11,41.11,944444
